date,ABPO12_PAPEL12,ABRAS12_INVR12,ACSP12_SCPCC12,ANBIMA12_IBVSP12,ANP12_CDEPET12,ANP12_PDPET12,SGS12_IBCBRDESSAZ12,BM12_IPCAEXP612,BM12_IPCAPL12,BM12_ERC12,BM12_TJCDI12,BM12_TJLP12,BM12_TJOVER12,BPAG12_BC12,BPAG12_HFBAN12,BPAG12_IDE12,BM12_DTSPN12,BM12_DTSPY12,BM12_NFSPNNS12,PAN12_DTSPY12,BM12_CIN12,BM12_DEPOUCN12,BM12_DEVM12,BM12_M0MN12,BM12_PMPPM12,BMF12_SWAPDI18012,BMF12_SWAPDI36012,CEF12_FGTS12,CNI12_HTRABD12,CNI12_ICEIGER12,CNI12_NUCAPD12,CNI12_PEEMPD12,ELETRO12_CEET12,FCESP12_IIC12,FCESP12_IICA12,FCESP12_IICF12,CE12_CUTIND12,IGP12_IGPMG12,FIPE12_VENBR12,FUNCEX12_MDQT12,FUNCEX12_TTR12,FUNCEX12_XQT12,PAN12_QIIGG12,PIMPFN12_QIIGN12,PMC12_IVVR12,PAN12_TDESOC12,PRECOS12_IPCAG12,DIMAC_ICTI2,DIMAC_ILIQTOT112,GAC12_CABCDESSAZ12,GAC12_CAIGDESSAZ12,GAC12_INDFBCFDESSAZ12,SRF12_TOTGER12,GM12_NASDAQ12,GM12_DOW12
1980-01-01,89659.6297422872,,,27.5818639798489,1075,188,,,,1.57963636363636e-11,,,2.95,,,,,,,,,,2.47272727272727e-07,1.26909090909091e-07,5.30909090909091e-08,,,,,,,,9003,,,,84,,,27.49,89.94,14.12,,,,,6.61564916057387,,,,,,,155.140909090909,875.85
1980-02-01,83332.3904410854,,,9.32167536313639,1042,194,,,,1.624e-11,,,2.47,,,,,,,,,,2.51636363636364e-07,1.21454545454545e-07,5.34545454545455e-08,,,,,,,,8891,,,,,,,23.1,84.88,14.44,,,,,4.61691885303424,,,,,,,161.644,863.14
1980-03-01,89123.6136166522,,,5.90815273477812,1090,184,,,,1.68436363636364e-11,,,3.57,,,,,,,,,,2.66181818181818e-07,1.18181818181818e-07,5.30909090909091e-08,,,,,,,,8956,,,,,,,25.02,80.35,15.62,,,,,6.03838866463464,,,,,,,141.100476190476,785.75
1980-04-01,85477.7043984636,,,-3.3495736906212,1046,190,,,,1.74981818181818e-11,,,1.95,,,,,,,,,,2.84363636363636e-07,1.28e-07,5.6e-08,,,,,,,,9066,,,,84,,,23.72,85.45,15.9,,,,,5.28611382402557,,,,,,,136.286666666667,817.06
1980-05-01,91161.4744579358,,,17.5929426591052,1123,191,,,,1.80327272727273e-11,,,2.03,,,,,,,,,,2.98909090909091e-07,1.34909090909091e-07,5.78181818181818e-08,,,,,,,,9251,,,,,,,25.57,82.31,20.61,,,,,5.70272065101669,,,,,,,145.684761904762,850.85
1980-06-01,89123.6136166522,,,13.6426963883828,1122,207,,,,1.86036363636364e-11,,,2.45,,,,,,,,,,3.22545454545455e-07,1.45454545454545e-07,6.18181818181818e-08,,,,,,,,9298,,,,,,,23.86,80.83,17.52,,,,,5.30530430706944,,,,,,,155.429047619048,867.92
1980-07-01,94486.2737826787,,,2.35760090531876,1151,200,,,,1.91454545454545e-11,,,3.21,,,,,,,,,,3.32727272727273e-07,1.54909090909091e-07,6.72727272727273e-08,,,,,,,,9234,,,,85,,,25.5,79.16,18.08,,,,,5.54561209125259,,,,,,,166.925909090909,935.32
1980-08-01,90518.0052162062,,,0.875253362815531,1083,203,,,,1.98e-11,,,3.04,,,,,,,,,,3.35272727272727e-07,1.58545454545455e-07,6.90909090909091e-08,,,,,,,,9679,,,,,,,27.83,81.51,18.47,,,,,4.94558244282344,,,,,,,177.729047619048,932.59
1980-09-01,90625.4583323008,,,-8.98712211160836,1136,174,,,,2.05127272727273e-11,,,3.43,,,,,,,,,,3.49818181818182e-07,1.65090909090909e-07,7.16363636363637e-08,,,,,,,,9614,,,,,,,27.69,79.8,18.79,,,,,4.23032531099046,,,,,,,189.485714285714,932.42
1980-10-01,95450.852917854,,,-5.15805318615153,1139,174,,,,2.13018181818182e-11,,,3.96,,,,,,,,,,3.63272727272727e-07,1.72e-07,7.41818181818182e-08,,,,,,,,9608,,,,84,,,25.43,81.94,19.66,,,,,9.4805311984776,,,,,,,195.757826086957,924.49
1980-11-01,88480.1443749226,,,-7.62882234684161,1139,182,,,,2.22254545454545e-11,,,4.04,,,,,,,,,,3.80363636363636e-07,1.81090909090909e-07,7.92727272727273e-08,,,,,,,,9954,,,,,,,23.31,79.56,20.09,,,,,6.67335975605188,,,,,,,200.685555555556,993.34
1980-12-01,85047.891934085,,,-8.20160366552118,1173,183,,,,2.31272727272727e-11,,,5.65,,,,,,,,,,4.14545454545454e-07,2.15272727272727e-07,1e-07,,,,,,,,9501,,,,,,,23.44,78.56,20.53,,,,,6.61408363651688,,325568.496009009,,,,,198.398636363636,963.99
1981-01-01,83939.625492504,,,10.1946593461443,1028,189,,,,2.44327272727273e-11,,,5.29,,,,,,,,,,4.11636363636364e-07,2.10909090909091e-07,9.70909090909091e-08,,,,,,,,10102,,,,82,,,22.82,79.13,17.64,,,,,6.83751111696695,,325735.215902516,,,,,198.982857142857,947.27
1981-02-01,80347.4428323628,,,-1.48341071226361,1032,221,,,,2.55127272727273e-11,,,4.8,,,,,,,,,,4.04e-07,2.14181818181818e-07,9.38181818181818e-08,,,,,,,,9468,,,,,,,22.41,74.26,18.24,,,,,6.40114938276171,,326271.205462032,,,,,194.852105263158,974.58
1981-03-01,82332.8265704374,,,-10.4022988505747,983,224,,,,2.69090909090909e-11,,,5.05,,,,,,,,,,4.21454545454545e-07,2.12363636363636e-07,9.49090909090909e-08,,,,,,,,9804,,,,,,,22.68,76.22,18.28,,,,,4.97174813827477,,321782.558378575,,,,,203.58,1003.87
1981-04-01,74013.9562569694,,,6.47851186658115,973,209,,,,2.85709090909091e-11,,,4.52,,,,,,,,,,4.44363636363636e-07,2.15636363636364e-07,9.81818181818182e-08,,,,,,,,9405,,,,78,,,23.16,74.46,19.9,,,,,6.46206675720737,,318689.647266101,,,,,215.22380952381,997.75
1981-05-01,73541.6623280882,,,16.5542168674699,987,225,,,,3.04072727272727e-11,,,5.7,,,,,,,,,,4.54545454545455e-07,2.25454545454545e-07,1.00363636363636e-07,,,,,,,,9656,,,,,,,22,73.13,19.98,,,,,5.55956004750076,,312195.628519463,,,,,216.5435,991.75
